country_id;country_name;conflict_id;conflict_name;conflict_type_data_id;conflict_factor_data_id;conflict_intensity_data_id;conflict_subjects;conflict_history;conflict_regulation_practice;circle_coordinates;circle_custom_diameter;circle_conflict_type_data_id;circle_conflict_factors_data_id;circle_conflict_intensity_data_id
26;Босния и Герцеговина;17;Боснийский конфликт (Босния и Герцеговина);;;;Боснийцы-мусульмане / Сербы-православные (в меньшей мере хорваты-католики);Конфликт развился как следствие одной из проблем, связанных с распадом СФРЮ. Боснийские мусульмане в 1991 г. объявили о своем выходе из федерации. Боснийские сербы (православные), исторически проживавшие на территории Боснии, тяготея к Сербии, создали собственное территориальное образование – Республику Сербскую (1992 г.). Это положило начало военному столкновению (1992-1995 гг.), которое являлось острым политико-территориально конфликтом с этнорелигиозной окраской. После международного вмешательства по инициативе США и других западных стран в 1995 г. были заключены Дейтонские соглашения, согласно которым в Боснии и Герцоговине была осуществлена децентрализация. После этого военные действия были прекращены, и конфликт перешел в замороженное состояние.;Международное политическое и военное вмешательство, Дейтонские соглашения (1995 г.). Меры по межэтническому регулированию: организация на территории Федерации БиГ кантонов – территориальных единиц, где то или иное сообщество имело большинство. Смешанным кантонам предоставлялся специальный режим. Республике Сербской в составе БиГ была предоставлена широкая автономия (включая внешнеполитическое представительство), властные полномочия были разделены между национальными группами. Шаткость ситуации определяется сложной многоуровневой системой управления страны, где пересекаются интересы трех этнических общностей (боснийцев, сербов и хорватов). В условиях экономического упадка и торможения евроинтеграции возможна повторная эскалация конфликта.;43.90, 18.36;;103;203, 204, 205;304
28;Беларусь;;;;;;;;;;;;;
29;Белиз;;;;;;;;;;;;;
30;Бермудские острова;;;;;;;;;;;;;
31;Боливия;;;;;;;;;;;;;
32;Бразилия;;;;;;;;;;;;;
33;Барбадос;;;;;;;;;;;;;
34;Бруней-Даруссалам;;;;;;;;;;;;;
35;Бутан;;;;;;;;;;;;;
36;Ботсвана;;;;;;;;;;;;;
37;Центрально-Африканская Республика;;;;;;;;;;;;;
38;Канада;23;Квебек (Канада);;;;Франкофонная община Квебека / Центральное правительство;Провинцию с начала XVII в. населяют потомки французских колонистов. Отличительные характеристики квебекской идентичности формирует язык и католическое вероисповедание. Квебек перешел под юрисдикцию Британской монархии в 1763 г. по итогам Семилетней войны, в статусе провинции вошел в состав Канадской федерации (1867).  «Тихая революция» 1960х-70х гг. стала периодом бурного экономического роста и утверждения национальной идентичности. В 1981 г. правительство провинции Квебек отказалось подписать новый Конституционный Акт, в 1987 г. было достигнуто соглашение об особом статусе провинции, с признанием англоязычных меньшинств в Квебеке и франкофонных меньшинств – за пределами провинции – неотъемлемыми характеристиками канадской нации. Референдумы, на которых ставился вопрос о независимости (1980, 1995 гг.), не принесли победы ее сторонникам, во втором случае – с минимальным преимуществом.;Провинция имеет особый статус (statut particulier). Политика языка (один офиц. язык – французский, в 1977 г. принята Хартия французского языка). Официально признан статус «нации внутри объединенной Канады» (2006). Развитие высоко технологичных производств, экономики знаний.;52.81, -72.34;;102;203, 201, 202;301
39;Швейцария;;;;;;;;;;;;;
40;Чили;;;;;;;;;;;;;
41;Китай;29;Синьцзян-уйгурский конфликт (Китай);;;;Центральное правительство / вооруженные группировки сепаратистов (исламское движение Восточного Туркестана) / уйгурское меньшинство / ханьское большинство;"Уйгуры – тюркоязычный народ, исповедующий ислам; вторым заметным меньшинством являются монголы-ойраты, исповедующие буддизм, значительная их часть перековала на территорию современной Калмыкии.  Территория известна под названием Восточного Туркестана, была присоединена к Китаю в состав империи Цин в XVIII в. Неоднократные попытки добиться независимости были жестоко подавлены. В 1933 г. (гражданская война в Китае) была образована Тюркская Исламская Республика Восточный Туркестан (Республика Уйгуристан, до 1935 г.). Сильное влияние в регионе имел СССР. После ряда восстаний была образована вторая республика, в 1949 г. была присоединена к КНР. Начался процесс целенаправленного переселения на территорию бывшего Восточного Туркестана ханьского населения. В 1955 г. был образован Синьцзян-Уйгурский автономный район. Уйгурское население в значительной части поддерживает борьбу за независимость (автономию) Восточного Туркестана и против засилья ханьцев в экономике и политике региона. Время от времени вспыхивающие массовые протесты против политики Центра (в частности, в 2008, 2009 гг.) подавляются. В 1992 г. создан национальный Конгресс Восточного Туркестана (ныне - Всемирный Уйгурский Конгресс), стоящий на позициях борьбы за автономию и против политики ассимиляции ненасильственными средствами.";Экономическая политика, программы поддержки беднейших семей. Политика китаизации высшего образования, сужение возможностей использования уйгурского языка в публичной сфере;42.48, 86,12;;103;203, 205, 206;304
42;Кот-д'Ивуар;;;;;;;;;;;;;
43;Камерун;;;;;;;;;;;;;
44;Демократическая Республика Конго;37;ДРК;;;;Выступающие от имени племенных групп вооруженные группировки / Правительство и сепаратисты Катанги;В ДРК в активной фазе находится противостояние между различными этническими группами, в том числе в рамках одной народности. В ходе наиболее острой фазы межэтнического конфликта, принявшей форму гражданской войны, в 1998-2003 гг. погибло от 3 до 4 млн. чел. После заключения мирного соглашения в 2003 г. наблюдаются элементы позитивной динамики, однако в целом уровень конфликтности остается крайне высоким – на территории страны действуют вооруженные группировки. С момента установления независимости Конго в 1960 г. продолжается также конфликт, вызванный сепаратистским движением в южной провинции Катанга. Поддержку различным вооруженным формированиям, борющимся за ресурсы, в ходе Второй Конголезской войны 1998-2002 гг. оказывали внешние силы. После ухода с территории ДРК войск Уганды, Руанды и Бурунди они продолжают оказывать   поддержку вооруженным формированиям в ДРК, чтобы обеспечить незаконную добычу и контрабанду сырья. В то же время ряд конфликтующих группировок имеет религиозную основу, например, ГАС (Господня армия сопротивления), идеология которой состоит в установлении своего рода «библейского коммунизма», и исламистская «Объединенные демократические силы — Национальная армия освобождения Уганды».;"Заключение мирного договора 2003 г.; проведение в 2006 г. президентских и парламентских выборов под защитой миротворческой миссии ООН; внедрение демократических институтов; перевод конфликта в русло межпартийной борьбы";-2.58, 23.33;;101;204, 206, 205;303
45;Республика Конго;;;;;;;;;;;;;
46;Острова Кука;;;;;;;;;;;;;
47;Колумбия;;;;;;;;;;;;;
48;Коморские острова;;;;;;;;;;;;;
49;Кабо-Верде;;;;;;;;;;;;;
50;Коста-Рика;;;;;;;;;;;;;
51;Куба;;;;;;;;;;;;;
52;Кюрасао;;;;;;;;;;;;;
53;Каймановы острова;;;;;;;;;;;;;
54;Северный Кипр;;;;;;;;;;;;;
55;Кипр;10;Кипрский конфликт;;;;Республика Кипр / Турецкая Республика Северного Кипра / Греция и Турция / Великобритания / Европейский союз / Международное сообщество, прежде всего, в лице ООН.;Истоки конфликта лежат в межобщинном противостоянии греков-киприотов и турок-киприотов и кризисе государственности в Республике Кипр вскоре после предоставления Кипру независимости от Великобритании в 1960 г. Военное вторжение турецких войск на Кипр в 1974 г. привело к разделу острова на Север, контролируемый турками-киприотами, и Юг, контролируемый греками-киприотами. После нескольких лет существования квази-федерации, согласно мирному соглашению 1975 г., в 1983 г. была провозглашена Турецкая Республика Северного Кипра. Республика в экономическом, финансовом и военном отношении полностью зависит от Турции, на ее территории расположен турецкий военный контингент. Республика Кипр признана международным сообществом (за исключением Турции) как суверенное государство, Турецкая Республика Северного Кипра признана лишь Турцией и считается территорией, оккупированной турецкими войсками. Организация Исламская конференция предоставила Турецкой Республики Северного Кипра статус наблюдателя как часть федеративного государства. Демаркационная линия между греческой и турецкой частями острова охраняется контингентом Вооруженных сил ООН по поддержанию мира на Кипре.;По инициативе ГС Кофи Аннана ООН разработала план проведения референдумов в обеих кипрских республиках по вопросу объединения в единое государство в составе двух автономных частей. План не содержал требование о выводе с острова турецких войск и разрешал проживание на Кипре переселенцев из Турции, что ставило под сомнение возможность возвращения на родину беженцев - этнических греков, поэтому был отвергнут в ходе голосования в 2004 г. большинством греков-киприотов. В 2014 г. Европейский Суд по правам человека постановил, что Турция должна выплатить 30 млн. евро за моральный ущерб родственникам арестованных турецкими оккупационными властями и пропавших без вести греков-киприотов, и 60 млн. за моральный ущерб блокированному на полуострове Карпасия греческому населению.;35.24, 33,52;;103;206, 202, 205;304
56;Чешская Республика;;;;;;;;;;;;;
57;Германия;;;;;;;;;;;;;
58;Джибути;;;;;;;;;;;;;
59;Доминика;;;;;;;;;;;;;
60;Дания;;;;;;;;;;;;;
61;Доминиканская Республика;;;;;;;;;;;;;
62;Алжир;;;;;;;;;;;;;
63;Эквадор;;;;;;;;;;;;;
64;Египет;;;;;;;;;;;;;
65;Эритрея;12;Каталония (Испания);;;;Центральное правительство и региональные власти / Часть политических элит, бизнеса и общества автономного сообщества Каталонии;"Каталонский инклюзивный национализм развивался от литературного возрождения XIX в. Renaixen?a в стиле шотландского романтизма через движение за автономию региона в составе единого испанского государства к признанию Каталонии нацией и сецессионизму под лозунгом создания независимого государства. В 1914 г. был создан орган регионального управления Манкомунитат Каталонии (прекратил свою деятельность в 1925 г. в годы военно-монархической диктатуры Примо де Ривера). В 1936 г. в период Первой республики Каталония получила права автономной области, было сформировано и работало до марта 1937 г. первое правительство автономии. Установление диктатуры Франко ликвидировало права автономии. Демократическая Конституция страны 1978 г. гарантировала права автономии территориям страны, Каталония получила права национальности в ""государстве автономий"", но в отличие от Страны басков и Наварры не обладает финансовой автономией. Каталанский язык имеет статус регионального на территории автономии. В настоящее время Каталония - одно из 17 автономных сообществ Испании, обладающее широкими законодательными и административными полномочиями, один из наиболее развитых в социально-экономическом отношении регионов страны, этнонационализм в этой автономии и приобрел характер главным образом фискального национализма. Каталанский язык имеет статус регионального.";Правовая основа регулирования – положения Конституции 1978 г., автономный статут Каталонии, текст которого требует одобрения национальным парламентом, законодательство о межбюджетных и совместной деятельности центра и регионов в различных сферах. Решения по спорным вопросам выносит Конституционный Суд страны. Наиболее острой сферой борьбы между Мадридом и Барселоном стало образования: сопротивление центра вызывает языковая политика в каталонских школах и попытки лишить испанский язык статуса обязательного для изучения, а также разработка новых учебных курсов и издание собственных региональных учебников по истории, целью которых является формирование именно региональной гражданской идентичности в Каталонии.;41.40, 2.16;;101;202, 203;305
66;Королевство Испания;13;Страна басков (Испания);;;;Центральное правительство и региональные власти / Часть политических элит и общества автономного сообщества Страны басков;Баскский национализм возник как воинствующе агрессивная клерикальная идеология, его чертами стали консерватизм, а порой и реакционность, тенденция к изоляционизму. Впоследствии он стал более инклюзивным: главным (высшим) признаком принадлежности к сообществу басков стало не кровное родство, а знание языка. В годы Первой республики баскские провинции получили автономию, которую упразднил франкистский режим. Радикальным проявлением баскского национализма во второй половине XX - начале XXI вв. становится вооруженный сепаратизм в лице этнической террористической группировки ЭТА. В постфранкистский период автономное сообщество Страны басков (Эускади) получило широкую политическую и финансовую автономию от центра, баскский язык получил статус регионального. Часть политических элит и общества Страны басков разделяют идеи сепаратизма и сецессионизма под лозунгом создания независимого государства. Страна басков - один из наиболее развитых в социально-экономическом отношении регионов страны.;Правовая основа регулирования – положения Конституции 1978 г., требующий одобрения национальным парламентом автономный статут Страны басков, двустороннее соглашение по экономическим вопросам, пересматриваемое каждые пять лет (Страна басков обладает финансовой независимостью от центра), законодательство о совместной деятельности центра и регионов в различных сферах. Решения по спорным вопросам выносит Конституционный Суд Испании. Языковая политика баскских властей претерпела изменения от попыток культурно-лингвистической дивергенции региона в общем политическом пространстве единого государства до понимания важности и необходимости сохранить двуязычие, прежде всего с социальной и экономической точек зрения. Этому способствовала и адекватная политика центральных властей, которые выделяли и продолжают выделять значительные финансовые средства для поддержки изучения баскского языка как регионального для испаноязычных работников социальной сферы (в частности здравоохранения) .;43.03, -2.61;;101;201, 202;301
66;Королевство Испания;11;Галисия (Испания);;;;Центральное правительство и региональные власти / Часть политических элит и общества автономного сообщества Галисия;Истоки конфликтности в Испании лежат в специфике государственного строительства и формирования испанской нации: раннее образование единого государства в результате Реконкисты, многовекового (VIII-XV вв.) процесса отвоевания у арабов земель на Пиренейском полуострове, и позднее формирование гражданской нации, фактически совпавшее по времени с подъемом периферийного регионального национализма в Стране басков, Каталонии, Галисии (в XIX в.). Так, галисийский национализм развивался от движения за сохранение единства Галисии в 1840-гг. в контексте инициированной реформы административно-территориального устройства Испании и разделения территории страны на провинции через литературное возрождение Rexurdimento в 1850-60-е гг. к  борьбе за федерализацию Испании и приданию Галисии статуса кантона в 1860-70 гг., к регионализму, а о него к движению за автономию Галисии в составе испанского государства и идее строительства гражданской нации. В годы Первой республики на референдуме в Галисии в июне 1936 г. получил поддержку текст автономного статута территории, республиканский парламент успел одобрить его в феврале 1938 г. в разгар Гражданской войны. В настоящее время Галисия - одно из 17 автономных сообществ Испании, обладающее широкими законодательными и административными полномочиями, один из наиболее бедных и малонаселенных регионов страны с проблемой старения населения в силу значительных потоков внутренней и внешней эмиграции и, соответственно, низкой рождаемости. Культурно-лингвистический национализм сочетается с фискальным (регион является дотационным). Галисийский язык имеет статус регионального.;Правовая основа регулирования – положения Конституции 1978 г., автономный статут Галисии, законодательство о межбюджетных отношениях и совместной деятельности центра и регионов в различных сферах. Решения по спорным вопросам выносит Конституционный Суд страны. ;42.85, -7.94;;101;201, 202;301
66;Королевство Испания;;;;;;;;;;;;;
67;Эстония;;;;;;;;;;;;;
68;Эфиопия;;;;;;;;;;;;;
69;Финляндия;;;;;;;;;;;;;
70;Фиджи;;;;;;;;;;;;;
71;Фолклендские (Мальвинские) острова;;;;;;;;;;;;;
72;Франция;16;Корсика (Франция);;;;Центральное правительство / Корсиканские этнорегионалистские политические силы;"Корсика перешла к Франции в 1769 г. после аннексии Корсиканской республики французскими войсками и подписания соглашения с Генуэзской республикой (формально Корсика оставалась владением Генуи, фактически была независимой и имела собственную Конституцию). Ирредентистское движение, особенно активное в период фашизма в Италии, выступало за присоединение острова к Италии; в 1842 г. Корсика была оккупирована Италией при поддержке Германии; движение сопротивления поддержало силы французского армейского корпуса, освободившего остров в октябре 1943 г. С 1960-х гг. корсиканские сепаратистские группировки (Fronte di Liberazione Naziunale Corsu и др.) вели вооруженную борьбу против власти террористическими методами. В 2014 г. крупнейшая вооруженная группировка заявила о прекращении вооруженной борьбы. На последних выборах в местные органы власти (2015 г.) впервые более трети голосов получила коалиция этнорегионалистских сил «За Корсику» (Pe a Corsica), ее представители возглавили местные органы власти (Ассамблею и Совет региона). Большинство населения не поддерживает притязания сепаратистов, но широкой поддержкой пользуются идеи деволюции, с которыми выступают умеренные этнорегионалистские силы. В повестке дня противостояния с Центром – меры по экономическому развитию острова (одного из беднейших регионов), поддержка корсиканского языка, борьба вокруг отмены налоговых льгот для жителей острова и против массовой постройки второго жилья нерезидентами на «острове красоты» (туристический бренд острова, который живет в основном за счет туризма). ";Корсика имеет особый статус Территориальной общности (Collectivit? territorial de Corse, 1982), предоставляющий автономию в вопросах местного управления. Корсиканский язык (Corsu) имеет статус регионального (преподается в младших классах школы и по желанию в средней школе, в системе высшего образования в регионе), официальным языком является французский. Корсика получает поддержку в рамках национальных и европейских программ как бедный регион (каждый пятый житель живет за чертой бедности, уровень образования самый низкий во Франции). На референдуме 2003 г. предложение о слиянии двух департаментов региона (и, в рамках этого решения, предоставления большей автономии региону) было отвергнуто 51% голосов.;42.21, 9.14;;101;201, 202;304
73;Франческа Гайана;;;;;;;;;;;;;
74;Фарерские острова;;;;;;;;;;;;;
75;Микронезия, Федеративные Штаты;;;;;;;;;;;;;
76;Габон;;;;;;;;;;;;;
77;Великобритания;14;Северная Ирландия (Соединенное королевство Великобритании и Северной Ирландии);;;;Община протестантов Северной Ирландии / Община ирландцев-католиков Северной Ирландии / Великобритания (центральное правительство) / Ирландия;"История конфликта связана с английской колонизацией Ирландии и политикой в отношении населения Ирландии (в т.ч. конфискация земель), которая приводила к конфликтам и восстаниям. Конфликт связан с вопросом о статусе данного региона в составе Соединенного Королевства. Республиканские националистические организации, опирающиеся на часть местного католического сообщества (Ирландская республиканская армия, ИРА, политическое крыло – партия Шинн Фейн), стремились к достижению независимости Северной Ирландии от Соединенного Королевства и воссоединению с Республикой Ирландия. Община протестантов Северной Ирландии  (Демократическая юнионистская партия) при поддержке центральных властей отстаивает сохранение провинции в составе Соединенного Королевства. Острая фаза конфликта приходится на вторую половину XX в. Формально конфликт урегулирован Белфастским соглашением (""Соглашение Страстной пятницы"") 1998 г., де-факто  продолжается в латентной форме, грозит перерасти в активную фазу на фоне выхода Великобритании из состава Евросоюза, особенно учитывая заявления некоторых высокопоставленных представителей ЕС о возможности поддержки идеи воссоединения Ирландии в составе Евросоюза.";"Основа регулирования конфликта - соглашение Страстной Пятницы (1998) В рамках внедренной на основе этого соглашения модели «сообщественной демократии» (consociational democracy) страной совместно управляют ведущие политические силы, представляющие обе религиозные общины. Правительством Северной Ирландии приняты программы, направленные на установление согласия между различными группами общества и преодоление сегрегации (2005 г. – «Общее будущее», 2013 г. «Вместе: построение объединенного сообщества»). В 2015 г. принята стратегия, направленная на продвижение равенства между различными этническими группами (Racial Equality Strategy 2015 – 2025). Основной акцент - создание общих пространств для взаимодействия; в области образования реализуются инициативы, направленные на преодоление сегрегации и обучение детей в интегрированных школах.";54.60, -6.53;;102;203, 202, 205;301
78;Грузия;;;;;;;;;;;;;
79;шерстяная фуфайка;;;;;;;;;;;;;
80;Гана;;;;;;;;;;;;;
81;Гвинея;;;;;;;;;;;;;
82;Гамбия;;;;;;;;;;;;;
83;Гвинея-Бисау;;;;;;;;;;;;;
84;Экваториальная Гвинея;;;;;;;;;;;;;
85;Греция;;;;;;;;;;;;;
86;Гренада;;;;;;;;;;;;;
87;Гренландия;;;;;;;;;;;;;
88;Гватемала;;;;;;;;;;;;;
89;Гуам;;;;;;;;;;;;;
90;Гайана;;;;;;;;;;;;;
91;Гонконг;;;;;;;;;;;;;
92;Острова Херд и Макдональд;;;;;;;;;;;;;
93;Гондурас;;;;;;;;;;;;;
94;Хорватия;;;;;;;;;;;;;
95;Гаити;;;;;;;;;;;;;
96;Венгрия;20;Венгрия;;;;Венгерское большинство / Цыганское (рома) меньшинство;"Исторически значительные группы цыган (три основных группы с разными диалектами) проживали на территории Венгрии (а также Румынии, Болгарии, Чехии, Словакии), практики регулирования до 1990-х гг. фактически отсутствовали. Составляют около 3% населения (данные переписи 2011 г., по оценкам – до 10%), ввиду высокой рождаемости численность быстро растет. Помимо различий в организации повседневной жизни и восприятия цыган как инокультурных носителей архаических культурных практик, в основе напряженности и скрытой (на бытовом уровне нередко – явной) дискриминации и сегрегации (особенно в системе школьного образования, приняты практики раздельного обучения) лежит социальное неблагополучие цыганского меньшинства, низкий уровень жизни, образования, массовая безработица; деятельность преступных этнических группировок.  ";"Серия законодательных актов 1990-2000х, обеспечивающих реализацию культурных прав меньшинств и их материальную поддержку, сложность имплементации подобного законодательства применительно к цыганам (рома), в том числе ввиду других приоритетов – социальной интеграции. Проблема бытовой дискриминации и сегрегации. Закон об образовании (1993) гарантирует права меньшинств; функционирует несколько школ для цыган. Институт медиаторов цыганского происхождения – помощников учителей. Активность международных фондов (фонд Сороса и др.). При Совете Европы работает   Специальный комитет экспертов по вопросам цыган; принята Стратегия по цыганскому вопросу (2011).";47.17, 19.55;;101; 204, 202;301
97;Индонезия;;;;;;;;;;;;;
98;Остров Мэн;;;;;;;;;;;;;
99;Индия;26;Бодоланд;;;;Центральное правительство / Сепаратистские военизированные и террористические группировки народа бодо (Национально-демократический фронт Бодоланда Фронт освобождения Бодоленда, Силы безопасности бодо, Тигры освобождения Бодоланда и др.);Оказавшись в треугольнике конфликта ассамских группировок-мусульман и центрального правительства, представители народности бодо в штате Ассам с конца 60-х начал выдвигать требования преобразовать районы их компактного проживания в отдельный штат. Не добившись этого, бодо стали организовывать военизированные и террористические группировки, однако акции прямого действия не привели к изменению ситуации. В 2003 г. в результате подписания соглашения между центральным правительством, правительством штата Ассам и выступающий от имени интересов народа бодо   организации Тигры освобождения Бодоленда в составе штата Ассам создана этнотерриториальная автономия (Территориальный автономный округ Бодо) со своим официальным языком (бодо). Бодоленд – одна из беднейших аграрных территорий страны.;Борьба центрального правительства с военизированными сепаратистскими группировками различного толка, предоставление прав территориальной автономии и особого статуса Бодоланду – территории в штате Ассам, месту компактного проживания народности бодо (соглашение 2003 г. между федеральным правительством, властями штата и Тиграми освобождения Бодоланда). Боевики Тигров прекратили вооруженную борьбу и вошли в состав Территориального совета Бодоланда. Конфликт утратил форму вооруженного противостояния и перешел в латентную форму.;22.50, 71.71;;101;201, 202, 205, 203, 204;302
99;Индия;25;Индо-ассамский конфликт (Индия);;;;"Центральное правительство / Различные группировки, борющиеся за автономию и независимость Ассама или отдельных его территорий от Индии (""Объединенный фронт освобождения Ассама"")";История конфликта напрямую связана с обретением Индией и Пакистаном независимости. Ущемление бенгальцев в Пакистане до 1971 года привело к тому, что те массово стали переселяться в близлежащие северные штаты Индии, в том числе и в Ассам. Это вызвало недовольство местного индуистского населения. Местные сепаратисты стали видеть в такой политике попытку центрального правительства изменить этнорелигиозный баланс населения. На это также наложилось представление о том, что Нью-Дели выкачивает ресурсы из штата, мешая ему свободно развиваться. Стали формироваться левонационалистические военизированные группировки, которые вступали в столкновения с индийскими регулярными формированиями. В 1990-х гг. в штате было временно введено прямое управление из центра и размещены регулярные войска. Неоднократно проводились административно-территориальные реформы.  Регулярно проводятся выборы в парламент штата.;Расширение политического представительства и ассамского фактора в политике штата, экономический рост Индии, децентрализованное распределение ресурсов, борьба с безработицей. Борьба центрального правительства с сепаратистскими группировками различного толка.;26.16, 92.76;;101;201, 202, 205;302
